GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,date,mois,semaine,categorie,ton_label,QuadClass_label
1218419766,20250101,202501,2025,2025.0027,BEN,BENIN,BEN,,,,,,,,NERGOV,NIGER,NER,,,,,GOV,,,1,40,40,4,1,1.0,2,1,2,-4.59770114942529,1,Benin,BN,BN,,9.5,2.25,BN,1,Niger,NG,NG,,16.0,8.0,NG,1,Benin,BN,BN,,9.5,2.25,BN,20250101120000,https://guardian.ng/news/benin-republic-protests-nigers-claim-of-backing-terrorists-summons-diplomat/,2025-01-01,2025-01,1,Autre,Négatif,Coopération verbale
1218419967,20250101,202501,2025,2025.0027,GOV,DIPLOMAT,,,,,,GOV,,,BEN,BENINESE,BEN,,,,,,,,1,40,40,4,1,1.0,2,1,2,-4.59770114942529,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250101120000,https://guardian.ng/news/benin-republic-protests-nigers-claim-of-backing-terrorists-summons-diplomat/,2025-01-01,2025-01,1,Autre,Négatif,Coopération verbale
1218419971,20250101,202501,2025,2025.0027,GOV,DIPLOMAT,,,,,,GOV,,,BENGOV,BENINESE,BEN,,,,,GOV,,,1,40,40,4,1,1.0,6,1,6,-4.59770114942529,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250101120000,https://guardian.ng/news/benin-republic-protests-nigers-claim-of-backing-terrorists-summons-diplomat/,2025-01-01,2025-01,1,Autre,Négatif,Coopération verbale
1221176618,20250117,202501,2025,2025.0466,BEN,BENIN,BEN,,,,,,,,NGA,BENIN CITY,NGA,,,,,,,,1,10,10,1,1,0.0,4,1,4,2.2038567493113,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250117120000,https://dailypost.ng/2025/01/17/gov-okpebholo-recruits-360-cleaners-into-edo-civil-service/,2025-01-17,2025-01,3,Autre,Positif,Coopération verbale
1224508698,20250204,202502,2025,2025.0932,BEN,COTONOU,BEN,,,,,,,,CIV,ABIDJAN,CIV,,,,,,,,1,42,42,4,1,1.9,10,1,10,6.38020833333333,1,Benin,BN,BN,,9.5,2.25,BN,4,"Abidjan, Lagunes, Cote D'ivoire",IV,IV82,16863,5.34111,-4.02806,-2115275,1,Benin,BN,BN,,9.5,2.25,BN,20250204120000,https://allafrica.com/stories/202502040122.html,2025-02-04,2025-02,6,Autre,Très positif,Coopération verbale
1225628556,20250210,202502,2025,2025.1096,,,,,,,,,,,BEN,BENIN,BEN,,,,,,,,0,42,42,4,1,1.9,2,1,2,-5.5,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250210120000,https://www.informationng.com/2025/02/edo-police-rescue-abducted-victim.html,2025-02-10,2025-02,7,Autre,Très négatif,Coopération verbale
1225628581,20250210,202502,2025,2025.1096,,,,,,,,,,,COP,POLICE,,,,,,COP,,,0,112,112,11,3,-2.0,2,1,2,-5.5,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250210120000,https://www.informationng.com/2025/02/edo-police-rescue-abducted-victim.html,2025-02-10,2025-02,7,Désapprobation,Très négatif,Conflit verbal
1225628621,20250210,202502,2025,2025.1096,,,,,,,,,,,IGOWAFBUSWAS,ECOWAS,WAF,WAS,,,,IGO,BUS,,1,40,40,4,1,1.0,5,1,5,3.94431554524361,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250210120000,https://www.opportunitiesforafricans.com/ecowas-african-forum-on-research-and-innovation-fari-startup-competition-2025/,2025-02-10,2025-02,7,Autre,Positif,Coopération verbale
1225628721,20250210,202502,2025,2025.1096,BEN,BENIN,BEN,,,,,,,,,,,,,,,,,,0,43,43,4,1,2.8,2,1,2,-5.5,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20250210120000,https://www.informationng.com/2025/02/edo-police-rescue-abducted-victim.html,2025-02-10,2025-02,7,Autre,Très négatif,Coopération verbale
1225628722,20250210,202502,2025,2025.1096,BEN,BENIN,BEN,,,,,,,,COP,POLICE,,,,,,COP,,,0,112,112,11,3,-2.0,2,1,2,-5.5,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250210120000,https://www.informationng.com/2025/02/edo-police-rescue-abducted-victim.html,2025-02-10,2025-02,7,Désapprobation,Très négatif,Conflit verbal
