mois,zone_geo,nb_evenements,goldstein_moyen,ton_moyen,impact_moyen,pct_violent,nb_articles_total,nb_sources
2025-01,Non localisé,1857,0.31,-1.633,0.589,14.75,11443,265
2025-01,Nord (Atakora / Alibori),118,-3.153,-6.638,-4.982,47.46,593,34
2025-01,Sud,152,2.304,2.004,4.13,2.63,976,40
2025-02,Non localisé,1477,0.332,-1.723,0.767,18.69,9344,208
2025-02,Nord (Atakora / Alibori),92,-1.035,-4.721,-1.233,35.87,503,18
2025-02,Sud,88,0.565,-2.352,1.433,12.5,571,21
2025-03,Non localisé,1840,0.464,-1.957,0.86,17.5,10511,182
2025-03,Nord (Atakora / Alibori),64,-3.088,-5.615,-5.234,48.44,342,15
2025-03,Sud,142,2.01,0.405,2.839,6.34,715,22
2025-04,Non localisé,1910,0.767,-0.877,1.028,16.28,11261,208
2025-04,Nord (Atakora / Alibori),86,-5.498,-8.906,-10.08,61.63,569,20
2025-04,Sud,93,2.313,-1.765,4.365,2.15,607,19
2025-05,Non localisé,1595,0.679,-1.178,1.303,16.18,9796,217
2025-05,Nord (Atakora / Alibori),28,0.125,-2.969,-1.339,32.14,207,10
2025-05,Sud,153,0.995,0.602,1.035,18.95,843,36
2025-06,Non localisé,779,0.867,-1.386,1.491,16.3,4465,138
2025-06,Nord (Atakora / Alibori),50,-2.708,-5.669,-5.91,40.0,518,9
2025-06,Sud,59,1.475,-1.085,2.729,15.25,317,15
2025-07,Non localisé,2073,0.914,-1.152,1.498,15.63,11033,196
2025-07,Nord (Atakora / Alibori),36,0.131,-1.515,1.65,25.0,273,15
2025-07,Sud,136,0.971,-0.019,1.629,12.5,663,28
2025-08,Non localisé,1352,0.722,-1.42,1.414,16.72,7960,175
2025-08,Nord (Atakora / Alibori),44,0.986,-3.726,0.843,18.18,209,12
2025-08,Sud,99,1.76,-0.444,2.697,13.13,555,24
2025-09,Non localisé,1480,0.639,-1.256,1.245,17.03,8278,173
2025-09,Nord (Atakora / Alibori),20,-2.045,-2.394,-3.476,35.0,135,7
2025-09,Sud,94,0.487,0.747,0.577,14.89,465,15
2025-10,Non localisé,1579,1.058,-0.092,1.881,12.35,9517,214
2025-10,Nord (Atakora / Alibori),19,1.284,-3.238,2.878,21.05,137,8
2025-10,Sud,52,2.29,2.548,4.236,1.92,327,12
2025-11,Non localisé,1609,0.632,-0.715,1.248,15.29,9529,183
2025-11,Nord (Atakora / Alibori),68,-0.596,-4.401,-0.343,32.35,222,9
2025-11,Sud,73,2.86,3.307,4.633,4.11,406,18
2025-12,Non localisé,3855,0.156,-2.609,0.217,20.39,22276,498
2025-12,Nord (Atakora / Alibori),14,-1.179,-2.039,-2.133,28.57,140,7
2025-12,Sud,275,0.435,-3.149,0.402,21.09,1518,52
