SQLDATE,EventCode,EventBaseCode,EventRootCode,QuadClass,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,GoldsteinScale,NumMentions,NumArticles,AvgTone,SOURCEURL
20251231,1712,171,17,4,OPERATIVE,,SPY,,,,Benin,9.5,2.25,-9.2,10,10,-9.57746478873238,https://dailypost.ng/2025/12/31/nscdc-arrests-suspected-oil-installation-vandal-in-edo/
20250209,016,016,01,1,CONGRESS,,LEG,DEMOCRATIC PARTY,,,Benin,9.5,2.25,-2.0,10,10,-5.17799352750809,https://thesun.ng/apc-dismisses-pdps-claims-on-oredo-lg-council-leadership/
20250209,1712,171,17,4,BENIN,BEN,,BENIN CITY,NGA,,Benin,9.5,2.25,-9.2,4,4,-5.30973451327433,https://dailypost.ng/2025/02/09/police-rescue-kidnapped-victim-recover-stolen-vehicle-in-edo/
20250304,022,022,02,1,PRISONER,,OPP,,,,Benin,9.5,2.25,3.2,10,10,-2.62172284644194,https://lanouvelletribune.info/2026/03/benin-des-fideles-musulmans-implorent-la-clemence-de-talon-pour-reckya-madougou-5-ans-apres-son-arrestation/
20250101,016,016,01,1,GOVERNOR,,GOV,,,,Benin,9.5,2.25,-2.0,3,3,-12.206572769953,https://punchng.com/pdp-seeks-igs-intervention-in-edo-lg-crisis/
20250101,140,140,14,3,BENIN,BEN,,NIGER,NER,GOV,Benin,9.5,2.25,-6.5,10,10,-5.58139534883721,https://guardian.ng/news/benin-protests-remarks-by-niger-junta-chief/
20250101,016,016,01,1,GOVERNOR,,GOV,BENIN,BEN,,Benin,9.5,2.25,-2.0,2,2,-12.206572769953,https://punchng.com/pdp-seeks-igs-intervention-in-edo-lg-crisis/
20250101,114,114,11,3,BENINESE,BEN,,NIGERIEN,NER,,Benin,9.5,2.25,-2.0,2,2,-5.58139534883721,https://guardian.ng/news/benin-protests-remarks-by-niger-junta-chief/
20250531,192,192,19,4,BENIN,BEN,,,,,Benin,9.5,2.25,-9.5,6,6,-1.64880461665293,https://www.opinionnigeria.com/courage-at-the-border-why-prince-orji-ugochukwu-must-be-celebrated-by-isaac-asabor/
20250531,191,191,19,4,GOVERNMENT,,GOV,,,,Benin,9.5,2.25,-9.5,4,4,1.28755364806867,https://leadership.ng/i-dont-interfere-with-edo-lg-funds-gov-okpebholo/
20250531,191,191,19,4,GOVERNMENT,,GOV,,,,Benin,9.5,2.25,-9.5,4,4,1.28755364806867,https://leadership.ng/i-dont-interfere-with-edo-lg-funds-gov-okpebholo/
20250202,160,160,16,4,AFRICA,AFR,,,,,"Ganvie, Benin (general), Benin",6.46441,2.39288,-4.0,10,10,-0.40567951318458,https://www.express.co.uk/news/world/2006916/Africa-village-on-lake-benin-ganvie
20250101,128,128,12,3,TANZANIA,TZA,,,,,Benin,9.5,2.25,-5.0,10,10,-0.81276339554485,https://kaloumpresse.com/2019/05/27/nouvelle-constitution-en-guinee-une-contribution-au-debat-pr-maurice-togba-zogbelemou/
20250102,128,128,12,3,BOSS,,BUS,,,,Benin,9.5,2.25,-5.0,5,5,-7.62942779291553,https://thesun.ng/edo-council-boss-declares-impeachment-void-cites-breach-of-due-process/
